stage,dataset,time_s,rss_mb,tracemalloc_peak_mb
router_ready,ALL,14.135,779.83,496.35
loaded_points,Equal,0.139,769.17,496.35
regions_selected,Equal,1.579,773.41,496.35
plot_regions,Equal,10.806,806.47,496.35
route_built,Equal,186.398,256.86,1542.18
plot_route,Equal,196.42,529.09,1563.07
dataset_done,Equal,197.346,498.53,1563.07
loaded_points,HighMajority,0.16,470.39,1563.07
regions_selected,HighMajority,1.664,363.05,1563.07
plot_regions,HighMajority,10.727,504.06,1563.07
route_built,HighMajority,12.846,663.72,1563.07
plot_route,HighMajority,21.961,720.92,1563.07
dataset_done,HighMajority,22.564,683.56,1563.07
loaded_points,LowMajority,0.15,630.97,1563.07
regions_selected,LowMajority,1.506,691.34,1563.07
plot_regions,LowMajority,10.198,961.38,1563.07
route_built,LowMajority,56.008,326.73,1886.07
plot_route,LowMajority,66.326,719.69,1908.81
dataset_done,LowMajority,67.503,683.44,1908.81
overall_done,ALL,301.805,669.02,1908.81
