from_delivery_idx,to_delivery_idx,from_node_id,to_node_id,distance_km,nodes_in_leg,edges_in_leg
0,67,271169072,428888035,1.4783800193475245,15,14
67,83,428888035,4854821665,1.279110466228689,14,13
83,77,4854821665,410791914,inf,11,10
77,14,410791914,410791902,inf,5,4
14,22,410791902,262348632,1.0675027334927272,14,13
22,54,262348632,4043041911,1.2698429996545337,14,13
54,24,4043041911,261228349,inf,22,21
24,79,261228349,5967446812,2.939490537432952,31,30
79,5,5967446812,706904454,inf,38,37
5,58,706904454,261287380,0.5777322929123518,8,7
58,76,261287380,262346279,1.5135036325565863,15,14
76,61,262346279,261329421,inf,23,22
61,100,261329421,261229342,2.3420165552764747,21,20
100,28,261229342,261268939,inf,21,20
28,17,261268939,5893214161,inf,14,13
17,33,5893214161,253960337,2.61502012728934,25,24
33,52,253960337,9321026109,2.296674959454042,18,17
52,11,9321026109,261184467,inf,27,26
11,13,261184467,261185761,1.8596812956027173,18,17
13,29,261185761,261161803,2.123770295476226,13,12
29,74,261161803,387578588,2.3388432509239614,22,21
74,2,387578588,261137005,inf,11,10
2,63,261137005,261222612,0.6624328706706266,5,4
63,43,261222612,387581699,inf,9,8
43,35,387581699,261277477,inf,29,28
35,1,261277477,261198776,inf,5,4
1,56,261198776,261149497,0.6023787610960986,6,5
56,26,261149497,261166229,inf,13,12
26,8,261166229,261148891,inf,7,6
8,85,261148891,261133373,1.1308303849915131,12,11
85,7,261133373,717469468,inf,22,21
7,37,717469468,261169932,3.1445219158133844,24,23
37,41,261169932,261155445,2.1621616732743694,17,16
41,3,261155445,261219670,inf,76,75
3,20,261219670,261142355,3.6901883492156977,28,27
20,99,261142355,261120313,1.5125251387574519,15,14
99,36,261120313,261142320,inf,15,14
36,42,261142320,261142322,0.2023313144995293,3,2
42,45,261142322,261148730,0.9109534508347958,7,6
45,4,261148730,2410223375,1.9744856310722856,20,19
4,51,2410223375,261224667,1.168574841921592,8,7
51,49,261224667,12963820855,inf,16,15
49,66,12963820855,261157056,2.730621639242046,25,24
66,65,261157056,367989587,inf,11,10
65,6,367989587,261148741,inf,25,24
6,23,261148741,12202503921,2.6118525770885688,15,14
23,59,12202503921,261152749,4.999374015619439,36,35
59,44,261152749,261118306,inf,8,7
44,82,261118306,261174932,1.5329578870555525,10,9
82,88,261174932,261284682,3.010628902612225,28,27
88,72,261284682,261118915,4.5779429549235555,35,34
72,62,261118915,713056340,inf,20,19
62,16,713056340,269449023,inf,13,12
16,92,269449023,48989843,inf,75,74
92,95,48989843,13032366908,3.2586338472885084,35,34
95,31,13032366908,13032420812,inf,34,33
31,27,13032420812,261212928,inf,7,6
27,34,261212928,261145150,5.058209668916655,45,44
34,38,261145150,261133886,3.023458896310395,30,29
38,60,261133886,367557616,2.758138773772885,26,25
60,91,367557616,261139100,1.6959712259510475,15,14
91,94,261139100,261187561,0.19286509776815577,2,1
94,39,261187561,261276969,inf,27,26
39,9,261276969,261162379,inf,48,47
9,47,261162379,261261848,1.960139312259833,16,15
47,57,261261848,261128033,0.7072915656666562,7,6
57,96,261128033,261245327,0.6110369369030205,5,4
96,89,261245327,261170194,0.5196489628244685,6,5
89,98,261170194,261276979,6.238895586864806,37,36
98,40,261276979,1255568031,inf,55,54
40,78,1255568031,268166048,2.241903887403343,22,21
78,80,268166048,261212187,2.598252356248398,15,14
80,18,261212187,306056277,inf,40,39
18,81,306056277,261141637,1.4164861584310724,13,12
81,71,261141637,261115562,inf,22,21
71,50,261115562,257173235,inf,24,23
50,32,257173235,257168958,inf,10,9
32,55,257168958,261214998,4.086606603342667,42,41
55,90,261214998,261325491,0.5153870004935167,6,5
90,21,261325491,5528051395,2.274254928437319,18,17
21,97,5528051395,261224263,10.34026235748787,84,83
97,64,261224263,261121470,inf,83,82
64,19,261121470,5931154595,inf,21,20
19,48,5931154595,261120618,4.597665880276614,42,41
48,86,261120618,418461995,4.872443002717041,46,45
86,25,418461995,261281661,inf,16,15
25,87,261281661,261211670,0.7115874716642383,5,4
87,70,261211670,261131926,inf,27,26
70,68,261131926,261302386,2.0308391922000038,14,13
68,69,261302386,261231238,1.0017395280441044,10,9
69,75,261231238,261150063,2.621193547428566,20,19
75,53,261150063,12963739676,inf,17,16
53,15,12963739676,261116443,inf,11,10
15,10,261116443,261216631,inf,9,8
10,12,261216631,261121154,3.476969247177592,20,19
12,30,261121154,261114693,1.920129116145543,15,14
30,73,261114693,261298335,1.1112398215977641,11,10
73,93,261298335,261304741,12.486462964599449,99,98
93,46,261304741,261144597,inf,184,183
46,84,261144597,614394783,6.380201733923366,34,33
84,0,614394783,271169072,inf,150,149
